
Starting Nmap 7.60 ( https://nmap.org ) at 2018-08-14 13:35 CST
NSE: Loaded 1 scripts for scanning.
NSE: Script Pre-scanning.
NSE: Starting runlevel 1 (of 1) scan.
Discovered open port 21/tcp on 101.81.232.156[上海市 电信]
Discovered open port 21/tcp on 101.81.58.159[上海市 电信]
Discovered open port 21/tcp on 101.81.86.161[上海市 电信]
Discovered open port 21/tcp on 101.81.152.160[上海市 电信]
Discovered open port 21/tcp on 101.81.228.161[上海市 电信]
Discovered open port 21/tcp on 101.81.11.162[上海市 电信]
Discovered open port 21/tcp on 101.81.82.162[上海市 电信]
Discovered open port 21/tcp on 101.81.55.163[上海市 电信]
Discovered open port 21/tcp on 101.81.81.163[上海市 电信]
Discovered open port 21/tcp on 101.81.119.164[上海市 电信]
Discovered open port 21/tcp on 101.81.143.165[上海市 电信]
Discovered open port 21/tcp on 101.81.230.165[上海市 电信]
Discovered open port 21/tcp on 101.81.228.165[上海市 电信]
Discovered open port 21/tcp on 101.81.104.166[上海市 电信]
Discovered open port 21/tcp on 101.81.96.166[上海市 电信]
Discovered open port 21/tcp on 101.81.100.167[上海市 电信]
Discovered open port 21/tcp on 101.81.48.168[上海市 电信]
Discovered open port 21/tcp on 101.81.106.168[上海市 电信]
Discovered open port 21/tcp on 101.81.116.168[上海市 电信]
Discovered open port 21/tcp on 101.81.56.170[上海市 电信]
Discovered open port 21/tcp on 101.81.81.170[上海市 电信]
Discovered open port 21/tcp on 101.81.35.172[上海市 电信]
Discovered open port 21/tcp on 101.81.142.170[上海市 电信]
Discovered open port 21/tcp on 101.81.111.172[上海市 电信]
Discovered open port 21/tcp on 101.81.58.173[上海市 电信]
Discovered open port 21/tcp on 101.81.170.173[上海市 电信]
Discovered open port 21/tcp on 101.81.222.173[上海市 电信]
Discovered open port 21/tcp on 101.81.51.175[上海市 电信]
Discovered open port 21/tcp on 101.81.9.176[上海市 电信]
Discovered open port 21/tcp on 101.81.107.175[上海市 电信]
Discovered open port 21/tcp on 101.81.105.177[上海市 电信]
Discovered open port 21/tcp on 101.81.245.177[上海市 电信]
Discovered open port 21/tcp on 101.81.83.178[上海市 电信]
Discovered open port 21/tcp on 101.81.32.178[上海市 电信]
Discovered open port 21/tcp on 101.81.184.178[上海市 电信]
Discovered open port 21/tcp on 101.81.108.180[上海市 电信]
Discovered open port 21/tcp on 101.81.81.184[上海市 电信]
Discovered open port 21/tcp on 101.81.238.183[上海市 电信]
Discovered open port 21/tcp on 101.81.124.184[上海市 电信]
Discovered open port 21/tcp on 101.81.113.185[上海市 电信]
Discovered open port 21/tcp on 101.81.11.186[上海市 电信]
Discovered open port 21/tcp on 101.81.223.186[上海市 电信]
Discovered open port 21/tcp on 101.81.110.187[上海市 电信]
Discovered open port 21/tcp on 101.81.232.187[上海市 电信]
Discovered open port 21/tcp on 101.81.89.188[上海市 电信]
Discovered open port 21/tcp on 101.81.143.188[上海市 电信]
Discovered open port 21/tcp on 101.81.90.189[上海市 电信]
Discovered open port 21/tcp on 101.81.48.190[上海市 电信]
Discovered open port 21/tcp on 101.81.59.190[上海市 电信]
Discovered open port 21/tcp on 101.81.114.190[上海市 电信]
Discovered open port 21/tcp on 101.81.129.190[上海市 电信]
Discovered open port 21/tcp on 101.81.49.191[上海市 电信]
Discovered open port 21/tcp on 101.81.190.192[上海市 电信]
Discovered open port 21/tcp on 101.81.53.192[上海市 电信]
Discovered open port 21/tcp on 101.81.99.193[上海市 电信]
Discovered open port 21/tcp on 101.81.114.193[上海市 电信]
Discovered open port 21/tcp on 101.81.236.193[上海市 电信]
Discovered open port 21/tcp on 101.81.88.194[上海市 电信]
Discovered open port 21/tcp on 101.81.93.194[上海市 电信]
Discovered open port 21/tcp on 101.81.227.196[上海市 电信]
Discovered open port 21/tcp on 101.81.239.196[上海市 电信]
Discovered open port 21/tcp on 101.81.81.197[上海市 电信]
Discovered open port 21/tcp on 101.81.90.197[上海市 电信]
Discovered open port 21/tcp on 101.81.229.197[上海市 电信]
Discovered open port 21/tcp on 101.81.51.198[上海市 电信]
Discovered open port 21/tcp on 101.81.37.198[上海市 电信]
Discovered open port 21/tcp on 101.81.119.198[上海市 电信]
Discovered open port 21/tcp on 101.81.111.198[上海市 电信]
Discovered open port 21/tcp on 101.81.203.198[上海市 电信]
Discovered open port 21/tcp on 101.81.126.199[上海市 电信]
Discovered open port 21/tcp on 101.81.141.199[上海市 电信]
Discovered open port 21/tcp on 101.81.226.199[上海市 电信]
Discovered open port 21/tcp on 101.81.15.200[上海市 电信]
Discovered open port 21/tcp on 101.81.80.200[上海市 电信]
Discovered open port 21/tcp on 101.81.122.201[上海市 电信]
Discovered open port 21/tcp on 101.81.129.202[上海市 电信]
Discovered open port 21/tcp on 101.81.132.202[上海市 电信]
Discovered open port 21/tcp on 101.81.145.203[上海市 电信]
Discovered open port 21/tcp on 101.81.224.203[上海市 电信]
Discovered open port 21/tcp on 101.81.233.203[上海市 电信]
Discovered open port 21/tcp on 101.81.104.205[上海市 电信]
Discovered open port 21/tcp on 101.81.190.206[上海市 电信]
Discovered open port 21/tcp on 101.81.8.207[上海市 电信]
Discovered open port 21/tcp on 101.81.106.207[上海市 电信]
Discovered open port 21/tcp on 101.81.102.210[上海市 电信]
Discovered open port 21/tcp on 101.81.204.210[上海市 电信]
Discovered open port 21/tcp on 101.81.111.210[上海市 电信]
Discovered open port 21/tcp on 101.81.243.211[上海市 电信]
Discovered open port 21/tcp on 101.81.233.213[上海市 电信]
Discovered open port 21/tcp on 101.81.104.213[上海市 电信]
Discovered open port 21/tcp on 101.81.248.214[上海市 电信]
Discovered open port 21/tcp on 101.81.103.214[上海市 电信]
Discovered open port 21/tcp on 101.81.58.214[上海市 电信]
Discovered open port 21/tcp on 101.81.236.216[上海市 电信]
Discovered open port 21/tcp on 101.81.12.220[上海市 电信]
